ID,IDExpediente,Estado,Regional,Departamento,Municipio,Localidad,Vereda,Class,TipoCombustible,TipoFuenteEmision,Latitud,Longitud,PrecisionUbicacion
1,73640,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,,CENTRO,Sin sanción,Otros,Horno,4.703417522164974,-74.22656074120917,Alta
2,73788,Seguimiento y Control,Ubate,Cundinamarca,LENGUAZAQUE,,RESGUARDO,Sin sanción,Carbón,Caldera horno,5.318407377599899,-73.70428142050933,Alta
3,74314,Seguimiento y Control,Sabana Occidente,Cundinamarca,MADRID,,LA PUNTA,Sin sanción,ACPM,Caldera horno,4.800461743437419,-74.21035542351376,Alta
4,75972,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,,BALSILLAS,Sin sanción,Fuel Oil No.8,Planta de asfalto,4.678796745272664,-74.28411217939394,Alta
5,78824,Seguimiento y Control,Sabana Occidente,Cundinamarca,FUNZA,,EL HATO,Sin sanción,Carbón,Caldera horno,4.699589511070331,-74.19375177162796,Alta
6,79754,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,,RASGATÁ,Sin sanción,Carbón,Horno,5.186499421111086,-73.88197627029925,Alta
7,80558,Seguimiento y Control,Sabana Occidente,Cundinamarca,FUNZA,,LA ISLA,Sin sanción,Coque,Caldera,4.744925265784511,-74.17508267728543,Alta
8,83236,Seguimiento y Control,Sabana Centro,Cundinamarca,COTA,,VUELTA GRANDE,Sin sanción,Carbón,Caldera,4.756802846772209,-74.14035346537922,Alta
9,88514,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,,BALSILLAS,Sin sanción,ACPM,Secadores,4.68744271057875,-74.28129363469138,Alta
10,89878,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,,BALSILLAS,Sin sanción,ACPM,Planta de asfalto,4.680198773239136,-74.28289584257708,Alta
11,93120,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,,BALSILLAS,Sin sanción,Fuel Oil No.8,Planta de asfalto,4.685590329529632,-74.27629087264197,Alta
12,102214,Seguimiento y Control,Sabana Centro,Cundinamarca,TENJO,,LA PUNTA,Sin sanción,No aplica,No aplica (área de operación),4.781656397575474,-74.18674334861848,Alta
13,104014,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,,BALSILLAS,Sin sanción,ACPM,Caldera,4.668429690322708,-74.26523633666623,Alta
14,109430,Seguimiento y Control,Sabana Occidente,Cundinamarca,MADRID,,AREA URBANA,Sin sanción,Madera,Caldera,4.73061248602139,-74.25431946798817,Alta
15,117700,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,,BALSILLAS,Sin sanción,Fuel Oil No.8,Planta de asfalto,4.677815636514173,-74.2679517245167,Alta
16,119814,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,,RASGATÁ,Sin sanción,Carbón,Caldera horno,5.189139417876079,-73.88027071141002,Alta
17,120014,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,,RASGATÁ,Sin sanción,Carbón,Horno,5.188686408335298,-73.8775198087606,Alta
18,121606,Seguimiento y Control,Ubate,Cundinamarca,GUACHETA,,CABRERA,Sin sanción,Carbón,Caldera horno,5.404332484014891,-73.67784659358865,Alta
19,123330,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,,EL OLIVO,Sin sanción,Carbón,Horno,5.072532666468105,-73.96173186680015,Alta
20,124002,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,,CHACUA,Sin sanción,Otros,Reactor,4.5215906450526955,-74.24238065490172,Media
21,124654,Seguimiento y Control,Sabana Occidente,Cundinamarca,FACATATIVA,,MOYANO,Sin sanción,Carbón,Caldera,4.794271656471029,-74.32465722228024,Alta
22,127196,Seguimiento y Control,Alto Magdalena,Cundinamarca,NILO,,LA ESMERALDA,Sin sanción,ACPM,Caldera,3.978951276472348,-74.45757606122676,Alta
