date_time,variable,value,station,unit_measurement
2024-01-22 07:00:00+00:00,WDS,3.287639,3,m/s
2024-01-22 07:00:00+00:00,NO,0.0,2,μgr/m³
2024-01-22 07:00:00+00:00,RAIN,0.0,18,mm
2024-01-22 07:00:00+00:00,WDS,0.402719,18,m/s
2024-01-22 07:00:00+00:00,Temp,12.97083,3,°C
2024-01-22 07:00:00+00:00,PM10,985.0,5,μgr/m³
2024-01-22 07:00:00+00:00,PM2.5,21.62376,20,μgr/m³
2024-01-22 07:00:00+00:00,PM10,43.0,18,μgr/m³
2024-01-22 07:00:00+00:00,SO2,0.076934,5,μgr/m³
2024-01-22 07:00:00+00:00,PM2.5,22.0,18,μgr/m³
2024-01-22 07:00:00+00:00,PM10,21.59667,15,μgr/m³
2024-01-22 07:00:00+00:00,Temp,13.87792,4,°C
2024-01-22 07:00:00+00:00,PM2.5,15.22791,11,μgr/m³
2024-01-22 07:00:00+00:00,PM2.5,4.430011,7,μgr/m³
2024-01-22 07:00:00+00:00,SO2,3.63438,14,μgr/m³
2024-01-22 07:00:00+00:00,WDS,1.244028,15,m/s
2024-01-22 07:00:00+00:00,PM2.5,8.488524,3,μgr/m³
2024-01-22 07:00:00+00:00,PM2.5,24.68631,2,μgr/m³
2024-01-22 07:00:00+00:00,NO,1.001149,3,μgr/m³
2024-01-22 07:00:00+00:00,NOX,11.2632,7,μgr/m³
2024-01-22 07:00:00+00:00,PM10,23.63417,14,μgr/m³
2024-01-22 07:00:00+00:00,CO,211.671967,5,μgr/m³
2024-01-22 07:00:00+00:00,Temp,9.964583,11,°C
2024-01-22 07:00:00+00:00,WDS,1.534444,14,m/s
2024-01-22 07:00:00+00:00,CO,699.301514,4,μgr/m³
2024-01-22 07:00:00+00:00,NO2,30.754543,3,μgr/m³
2024-01-22 07:00:00+00:00,PM10,44.75914,11,μgr/m³
2024-01-22 07:00:00+00:00,Temp,10.42,14,°C
2024-01-22 07:00:00+00:00,WDS,2.882778,7,m/s
2024-01-22 07:00:00+00:00,SO2,120.907646,20,μgr/m³
2024-01-22 07:00:00+00:00,PM10,36.11599,4,μgr/m³
2024-01-22 07:00:00+00:00,CO,219.0784,3,μgr/m³
2024-01-22 07:00:00+00:00,WDS,3.594028,4,m/s
2024-01-22 07:00:00+00:00,WDD,161.9528,3,°N
2024-01-22 07:00:00+00:00,NOX,17.1754,3,μgr/m³
