IDEstación,IDEmpresa,DistanciaKm,Variable,Incidencia
2,1,5.502287,NO,0.467005
2,1,5.502287,NO2,0.561327
2,1,5.502287,NOX,0.680162
2,1,5.502287,PM10,0.759175
2,1,5.502287,PM2.5,0.786657
2,1,5.502287,SO2,0.477856
2,2,90.037699,NO,0.000000
2,2,90.037699,NO2,0.000000
2,2,90.037699,NOX,0.000000
2,2,90.037699,PM10,0.000001
2,2,90.037699,PM2.5,0.008854
2,2,90.037699,SO2,0.000000
2,3,9.697839,NO,0.240748
2,3,9.697839,NO2,0.426333
2,3,9.697839,NOX,0.673310
2,3,9.697839,PM10,0.679868
2,3,9.697839,PM2.5,0.759274
2,3,9.697839,SO2,0.775337
2,4,6.376071,NO,0.442216
2,4,6.376071,NO2,0.566133
2,4,6.376071,NOX,0.713976
2,4,6.376071,PM10,0.787090
2,4,6.376071,PM2.5,0.760408
2,4,6.376071,SO2,0.791802
2,5,8.854909,NO,0.231843
2,5,8.854909,NO2,0.373346
2,5,8.854909,NOX,0.558551
2,5,8.854909,PM10,0.698514
2,5,8.854909,PM2.5,0.765899
2,5,8.854909,SO2,0.634737
2,6,65.962520,NO,0.000000
2,6,65.962520,NO2,0.000000
2,6,65.962520,NOX,0.000000
2,6,65.962520,PM10,0.000430
2,6,65.962520,PM2.5,0.071333
2,6,65.962520,SO2,0.000045
2,7,10.175101,NO,0.195206
2,7,10.175101,NO2,0.336502
2,7,10.175101,NOX,0.558427
2,7,10.175101,PM10,0.705959
2,7,10.175101,PM2.5,0.797244
2,7,10.175101,SO2,0.653236
2,8,14.184059,NO,0.042132
2,8,14.184059,NO2,0.143065
2,8,14.184059,NOX,0.364684
2,8,14.184059,PM10,0.564837
2,8,14.184059,PM2.5,0.715399
2,8,14.184059,SO2,0.483171
2,9,5.365217,NO,0.506566
2,9,5.365217,NO2,0.603391
2,9,5.365217,NOX,0.723906
2,9,5.365217,PM10,0.634279
2,9,5.365217,PM2.5,0.656090
2,9,5.365217,SO2,0.771273
2,10,6.186400,NO,0.496275
2,10,6.186400,NO2,0.626208
2,10,6.186400,NOX,0.778279
2,10,6.186400,PM10,0.748745
2,10,6.186400,PM2.5,0.717906
2,10,6.186400,SO2,0.796006
2,11,5.419840,NO,0.517215
2,11,5.419840,NO2,0.618286
2,11,5.419840,NOX,0.742494
2,11,5.419840,PM10,0.802601
2,11,5.419840,PM2.5,0.765188
2,11,5.419840,SO2,0.811900
2,12,10.314113,NO,0.055783
2,12,10.314113,NO2,0.087114
2,12,10.314113,NOX,0.199670
2,12,10.314113,PM10,0.610056
2,12,10.314113,PM2.5,0.649355
