IDEmpresa,Variable,ProbabilidadEmision
1,CO,0.5777777777777778
1,NO,0.7111111111111111
1,NO2,0.7111111111111111
1,NOX,0.7555555555555555
1,PM10,0.8
1,PM2.5,0.8
1,SO2,0.5111111111111111
2,CO,0.6444444444444445
2,NO,0.6888888888888889
2,NO2,0.6888888888888889
2,NOX,0.7333333333333333
2,PM10,0.8
2,PM2.5,0.8
2,SO2,0.7555555555555555
3,CO,0.6444444444444445
3,NO,0.8888888888888888
3,NO2,0.8888888888888888
3,NOX,0.9333333333333333
3,PM10,0.8
3,PM2.5,0.8
3,SO2,0.9555555555555555
4,CO,0.6000000000000001
4,NO,0.7777777777777778
4,NO2,0.7777777777777778
4,NOX,0.8222222222222223
4,PM10,0.8444444444444444
4,PM2.5,0.7777777777777778
4,SO2,0.8666666666666667
5,CO,0.6444444444444445
5,NO,0.6888888888888889
5,NO2,0.6888888888888889
5,NOX,0.7333333333333333
5,PM10,0.8
5,PM2.5,0.8
5,SO2,0.7555555555555555
6,CO,0.6444444444444445
6,NO,0.6444444444444445
6,NO2,0.6444444444444445
6,NOX,0.6888888888888889
6,PM10,0.8
6,PM2.5,0.8
6,SO2,0.7111111111111111
7,CO,0.5333333333333334
7,NO,0.8222222222222223
7,NO2,0.7555555555555555
7,NOX,0.7999999999999999
7,PM10,0.8444444444444444
7,PM2.5,0.8444444444444444
7,SO2,0.8222222222222223
8,CO,0.6000000000000001
8,NO,0.6888888888888889
8,NO2,0.6888888888888889
8,NOX,0.7333333333333333
8,PM10,0.8
8,PM2.5,0.8
8,SO2,0.7555555555555555
9,CO,0.5555555555555556
9,NO,0.7555555555555555
9,NO2,0.7555555555555555
9,NOX,0.8
9,PM10,0.6666666666666666
9,PM2.5,0.6666666666666666
9,SO2,0.8222222222222222
10,CO,0.6000000000000001
10,NO,0.8444444444444444
10,NO2,0.8444444444444444
10,NOX,0.8888888888888888
10,PM10,0.8
10,PM2.5,0.7333333333333334
10,SO2,0.8666666666666667
11,CO,0.6000000000000001
11,NO,0.7777777777777778
11,NO2,0.7777777777777778
11,NOX,0.8222222222222223
11,PM10,0.8444444444444444
11,PM2.5,0.7777777777777778
11,SO2,0.8666666666666667
12,CO,0.17777777777777778
12,NO,0.24444444444444446
12,NO2,0.20000000000000004
12,NOX,0.2888888888888889
12,PM10,0.7333333333333333
12,PM2.5,0.6888888888888889
12,SO2,0.24444444444444446
13,CO,0.6000000000000001
13,NO,0.8888888888888888
13,NO2,0.8888888888888888
13,NOX,0.9333333333333333
13,PM10,0.8
13,PM2.5,0.8
13,SO2,0.9555555555555555
14,CO,0.8
14,NO,0.6222222222222222
14,NO2,0.6888888888888889
14,NOX,0.7333333333333333
14,PM10,0.8888888888888888
14,PM2.5,0.8888888888888888
14,SO2,0.48888888888888893
15,CO,0.6000000000000001
15,NO,0.7777777777777778
15,NO2,0.7777777777777778
15,NOX,0.8222222222222223
15,PM10,0.8444444444444444
15,PM2.5,0.7777777777777778
15,SO2,0.8666666666666667
16,CO,0.6444444444444445
16,NO,0.6888888888888889
16,NO2,0.6888888888888889
16,NOX,0.7333333333333333
16,PM10,0.8
16,PM2.5,0.8
16,SO2,0.7555555555555555
17,CO,0.6444444444444445
17,NO,0.6444444444444445
17,NO2,0.6444444444444445
17,NOX,0.6888888888888889
17,PM10,0.8
17,PM2.5,0.8
17,SO2,0.7111111111111111
18,CO,0.6444444444444445
18,NO,0.6888888888888889
18,NO2,0.6888888888888889
18,NOX,0.7333333333333333
18,PM10,0.8
18,PM2.5,0.8
18,SO2,0.7555555555555555
19,CO,0.6444444444444445
19,NO,0.6444444444444445
19,NO2,0.6444444444444445
19,NOX,0.6888888888888889
19,PM10,0.8
19,PM2.5,0.8
19,SO2,0.7111111111111111
20,CO,0.4
20,NO,0.5333333333333333
20,NO2,0.5333333333333333
20,NOX,0.5333333333333333
20,PM10,0.5333333333333334
20,PM2.5,0.5333333333333334
20,SO2,0.37777777777777777
21,CO,0.6000000000000001
21,NO,0.6888888888888889
21,NO2,0.6888888888888889
21,NOX,0.7333333333333333
21,PM10,0.8
21,PM2.5,0.8
21,SO2,0.7555555555555555
22,CO,0.6000000000000001
22,NO,0.8888888888888888
22,NO2,0.8888888888888888
22,NOX,0.9333333333333333
22,PM10,0.8
22,PM2.5,0.8
22,SO2,0.9555555555555555
23,CO,0.6444444444444445
23,NO,0.6888888888888889
23,NO2,0.6888888888888889
23,NOX,0.7333333333333333
23,PM10,0.8
23,PM2.5,0.8
23,SO2,0.7555555555555555
24,CO,0.4444444444444444
24,NO,0.7555555555555555
24,NO2,0.8222222222222223
24,NOX,0.8666666666666667
24,PM10,0.5777777777777778
24,PM2.5,0.5777777777777778
24,SO2,0.4222222222222223
25,CO,0.6444444444444445
25,NO,0.6888888888888889
25,NO2,0.6888888888888889
25,NOX,0.7333333333333333
25,PM10,0.8
25,PM2.5,0.8
25,SO2,0.7555555555555555
26,CO,0.6444444444444445
26,NO,0.6444444444444445
26,NO2,0.6444444444444445
26,NOX,0.6888888888888889
26,PM10,0.8
26,PM2.5,0.8
26,SO2,0.7111111111111111
27,CO,0.6444444444444445
27,NO,0.6888888888888889
27,NO2,0.6888888888888889
27,NOX,0.7333333333333333
27,PM10,0.8
27,PM2.5,0.8
27,SO2,0.7555555555555555
28,CO,0.6444444444444445
28,NO,0.6888888888888889
28,NO2,0.6888888888888889
28,NOX,0.7333333333333333
28,PM10,0.8
28,PM2.5,0.8
28,SO2,0.7555555555555555
29,CO,0.6444444444444445
29,NO,0.6444444444444445
29,NO2,0.6444444444444445
29,NOX,0.6888888888888889
29,PM10,0.8
29,PM2.5,0.8
29,SO2,0.7111111111111111
30,CO,0.6444444444444445
30,NO,0.6444444444444445
30,NO2,0.6444444444444445
30,NOX,0.6888888888888889
30,PM10,0.8
30,PM2.5,0.8
30,SO2,0.7111111111111111
31,CO,0.6444444444444445
31,NO,0.6444444444444445
31,NO2,0.6444444444444445
31,NOX,0.6888888888888889
31,PM10,0.8
31,PM2.5,0.8
31,SO2,0.7111111111111111
33,CO,0.5777777777777778
33,NO,0.7111111111111111
33,NO2,0.7111111111111111
33,NOX,0.7555555555555555
33,PM10,0.8
33,PM2.5,0.8
33,SO2,0.5111111111111111
34,CO,0.5777777777777778
34,NO,0.7111111111111111
34,NO2,0.7111111111111111
34,NOX,0.7555555555555555
34,PM10,0.8
34,PM2.5,0.8
34,SO2,0.5111111111111111
35,CO,0.6000000000000001
35,NO,0.6888888888888889
35,NO2,0.6888888888888889
35,NOX,0.7333333333333333
35,PM10,0.8
35,PM2.5,0.8
35,SO2,0.7555555555555555
36,CO,0.4444444444444444
36,NO,0.7111111111111111
36,NO2,0.7777777777777778
36,NOX,0.8222222222222223
36,PM10,0.5777777777777778
36,PM2.5,0.5777777777777778
36,SO2,0.3777777777777778
37,CO,0.6444444444444445
37,NO,0.6444444444444445
37,NO2,0.6444444444444445
37,NOX,0.6888888888888889
37,PM10,0.8
37,PM2.5,0.8
37,SO2,0.7111111111111111
38,CO,0.5777777777777778
38,NO,0.7111111111111111
38,NO2,0.7111111111111111
38,NOX,0.7555555555555555
38,PM10,0.8
38,PM2.5,0.8
38,SO2,0.5111111111111111
39,CO,0.044444444444444446
39,NO,0.1111111111111111
39,NO2,0.1111111111111111
39,NOX,0.1111111111111111
39,PM10,0.8666666666666667
39,PM2.5,0.6888888888888889
39,SO2,0.1111111111111111
40,CO,0.3111111111111111
40,NO,0.4444444444444444
40,NO2,0.4444444444444444
40,NOX,0.4444444444444444
40,PM10,0.7333333333333334
40,PM2.5,0.6000000000000001
40,SO2,0.2444444444444444
41,CO,0.6000000000000001
41,NO,0.6888888888888889
41,NO2,0.6888888888888889
41,NOX,0.7333333333333333
41,PM10,0.8
41,PM2.5,0.8
41,SO2,0.7555555555555555
42,CO,0.5777777777777778
42,NO,0.7111111111111111
42,NO2,0.7111111111111111
42,NOX,0.7555555555555555
42,PM10,0.8
42,PM2.5,0.8
42,SO2,0.5111111111111111
43,CO,0.2666666666666667
43,NO,0.2666666666666667
43,NO2,0.2666666666666667
43,NOX,0.3111111111111111
43,PM10,0.4222222222222222
43,PM2.5,0.35555555555555557
43,SO2,0.3111111111111111
44,CO,0.4444444444444444
44,NO,0.4444444444444444
44,NO2,0.4444444444444444
44,NOX,0.48888888888888893
44,PM10,0.6222222222222222
44,PM2.5,0.6222222222222222
44,SO2,0.4444444444444444
45,CO,0.6444444444444445
45,NO,0.6444444444444445
45,NO2,0.6444444444444445
45,NOX,0.6888888888888889
45,PM10,0.8
45,PM2.5,0.8
45,SO2,0.7111111111111111
46,CO,0.3111111111111111
46,NO,0.4444444444444444
46,NO2,0.4444444444444444
46,NOX,0.4444444444444444
46,PM10,0.7333333333333334
46,PM2.5,0.6000000000000001
46,SO2,0.2444444444444444
47,CO,0.6444444444444445
47,NO,0.6888888888888889
47,NO2,0.6888888888888889
47,NOX,0.7333333333333333
47,PM10,0.8
47,PM2.5,0.8
47,SO2,0.7555555555555555
48,CO,0.6000000000000001
48,NO,0.6888888888888889
48,NO2,0.6888888888888889
48,NOX,0.7333333333333333
48,PM10,0.8
48,PM2.5,0.8
48,SO2,0.7555555555555555
49,CO,0.6000000000000001
49,NO,0.8444444444444444
49,NO2,0.8444444444444444
49,NOX,0.8888888888888888
49,PM10,0.8
49,PM2.5,0.7333333333333334
49,SO2,0.8666666666666667
50,CO,0.4444444444444444
50,NO,0.7555555555555555
50,NO2,0.8222222222222223
50,NOX,0.8666666666666667
50,PM10,0.5777777777777778
50,PM2.5,0.5777777777777778
50,SO2,0.4222222222222223
51,CO,0.6444444444444445
51,NO,0.6888888888888889
51,NO2,0.6888888888888889
51,NOX,0.7333333333333333
51,PM10,0.8
51,PM2.5,0.8
51,SO2,0.7555555555555555
52,CO,0.6444444444444445
52,NO,0.6444444444444445
52,NO2,0.6444444444444445
52,NOX,0.6888888888888889
52,PM10,0.8
52,PM2.5,0.8
52,SO2,0.7111111111111111
53,CO,0.5777777777777778
53,NO,0.7111111111111111
53,NO2,0.7111111111111111
53,NOX,0.7555555555555555
53,PM10,0.8
53,PM2.5,0.8
53,SO2,0.5111111111111111
54,CO,0.6444444444444445
54,NO,0.6444444444444445
54,NO2,0.6444444444444445
54,NOX,0.6888888888888889
54,PM10,0.8
54,PM2.5,0.8
54,SO2,0.7111111111111111
56,CO,0.6444444444444445
56,NO,0.6444444444444445
56,NO2,0.6444444444444445
56,NOX,0.6888888888888889
56,PM10,0.8
56,PM2.5,0.8
56,SO2,0.7111111111111111
57,CO,0.4444444444444444
57,NO,0.7111111111111111
57,NO2,0.7777777777777778
57,NOX,0.8222222222222223
57,PM10,0.5777777777777778
57,PM2.5,0.5777777777777778
57,SO2,0.3777777777777778
58,CO,0.3111111111111111
58,NO,0.4444444444444444
58,NO2,0.4444444444444444
58,NOX,0.4444444444444444
58,PM10,0.7333333333333334
