,IDExpediente,Estado,Regional,Departamento,Municipio,Vereda,Class,TipoCombustible,TipoFuenteEmision,Latitud,Longitud,Localidad,PrecisionUbicacion
19,124002,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,CHACUA,Sin sanción,Otros,Reactor,4.5218565,-74.24165,,Media
35,136448,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,AREA URBANA,Sin sanción,Gas,Horno,4.5827314,-74.211754,,Media
38,136886,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,CHACUA,Sin sanción,No aplica,Molino,4.5218565,-74.24165,,Media
40,137218,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,CHACUA,Sin sanción,Carbón,Caldera,4.5218565,-74.24165,,Media
44,139882,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,FUSUNGA,Sin sanción,Carbón,Horno,4.5272987,-74.1930212,,Media
60,148522,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,CHACUA,Sin sanción,Gas,Horno,4.5218565,-74.24165,,Media
71,154642,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,FUSUNGA,Sin sanción,Gas,Horno,4.5272987,-74.1930212,,Media
83,166542,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,LA UNIÓN,Sin sanción,Fuel Oil No.8,Horno,4.5071967,-74.2683929,,Media
96,170762,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,VERGANZO,Sin sanción,Carbón,Caldera,4.9700386,-73.9740574,,Media
134,187436,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,AREA URBANA,Sin sanción,Carbón,Horno,4.5827314,-74.211754,,Media
138,190770,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,CHUSACA,Sin sanción,Carbón,Caldera,4.5454998,-74.2442234,,Media
139,190772,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,CHUSACA,Sin sanción,Carbón,Caldera,4.5454998,-74.2442234,,Media
188,251262,Seguimiento y Control,Ubate,Cundinamarca,GUACHETA,PUEBLO VIEJO,Sin sanción,Carbón,Horno,5.3244472,-73.7416109,,Baja
190,252170,Seguimiento y Control,Ubate,Cundinamarca,SIMIJACA,HATO CHICO,Sin sanción,Leña,Horno,5.5152751,-73.8376865,,Baja
197,253924,Seguimiento y Control,Ubate,Cundinamarca,GUACHETA,PEÑAS,Sin sanción,Carbón,Horno,5.3244472,-73.7416109,,Baja
199,253958,Seguimiento y Control,Ubate,Cundinamarca,CUCUNUBA,PUEBLO VIEJO,Sin sanción,Hulla,Horno,5.2316116,-73.7567465,,Baja
206,259752,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,AREA URBANA,Sin sanción,Gas,Horno,4.5827314,-74.211754,,Media
208,262148,Seguimiento y Control,Ubate,Cundinamarca,CUCUNUBA,PUEBLO VIEJO,Sin sanción,Carbón,Horno,5.2316116,-73.7567465,,Baja
210,268628,Seguimiento y Control,Ubate,Cundinamarca,CUCUNUBA,PUEBLO VIEJO,Sin sanción,Carbón,Horno,5.2316116,-73.7567465,,Baja
